ID	Path	count_arrow	count_at	count_block_comment	count_class	count_closing_quote	count_colon	count_coloncolon	count_comma	count_dot	count_else	count_eol_comment	count_eq	count_eqeq	count_excl	count_false	count_fun	count_gt	count_identifier	count_if	count_integer_literal	count_interface	count_kdoc	count_lbrace	count_lbracket	count_long_template_entry_end	count_long_template_entry_start	count_lpar	count_lt	count_mul	count_null	count_object	count_open_quote	count_package	count_plus	count_quest	count_rbrace	count_rbracket	count_regular_string_part	count_return	count_rpar	count_super	count_this	count_true	count_val	count_var	count_white_space	bin_arrow	bin_at	bin_block_comment	bin_class	bin_closing_quote	bin_colon	bin_coloncolon	bin_comma	bin_dot	bin_else	bin_eol_comment	bin_eq	bin_eqeq	bin_excl	bin_false	bin_fun	bin_gt	bin_identifier	bin_if	bin_integer_literal	bin_interface	bin_kdoc	bin_lbrace	bin_lbracket	bin_long_template_entry_end	bin_long_template_entry_start	bin_lpar	bin_lt	bin_mul	bin_null	bin_object	bin_open_quote	bin_package	bin_plus	bin_quest	bin_rbrace	bin_rbracket	bin_regular_string_part	bin_return	bin_rpar	bin_super	bin_this	bin_true	bin_val	bin_var	bin_white_space	tfidf_arrow	tfidf_at	tfidf_block_comment	tfidf_class	tfidf_closing_quote	tfidf_colon	tfidf_coloncolon	tfidf_comma	tfidf_dot	tfidf_else	tfidf_eol_comment	tfidf_eq	tfidf_eqeq	tfidf_excl	tfidf_false	tfidf_fun	tfidf_gt	tfidf_identifier	tfidf_if	tfidf_integer_literal	tfidf_interface	tfidf_kdoc	tfidf_lbrace	tfidf_lbracket	tfidf_long_template_entry_end	tfidf_long_template_entry_start	tfidf_lpar	tfidf_lt	tfidf_mul	tfidf_null	tfidf_object	tfidf_open_quote	tfidf_package	tfidf_plus	tfidf_quest	tfidf_rbrace	tfidf_rbracket	tfidf_regular_string_part	tfidf_return	tfidf_rpar	tfidf_super	tfidf_this	tfidf_true	tfidf_val	tfidf_var	tfidf_white_space
1	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources\example.txt.token	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.244580107275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.189601888109	0.0	0.318861742466	0.0	0.0	0.0	0.0	0.170823636118	0.0	0.0	0.0	0.330051021847	0.0	0.0	0.0	0.0	0.244580107275	0.0	0.0	0.0	0.170823636118	0.0	0.244580107275	0.0	0.330051021847	0.0	0.0	0.0	0.0	0.0	0.637723484933
2	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\androidTest\java\com\ground0\transaction\ExampleInstrumentedTest.txt.token	0	2	0	2	1	0	1	1	19	0	1	1	0	0	0	1	0	38	0	0	0	1	2	0	0	0	4	0	1	0	0	1	1	0	0	2	0	1	0	4	0	0	0	1	0	30	0	1	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0.0	0.0623420944775	0.0	0.0446828581661	0.0288196978221	0.0	0.0429802633527	0.0299586087329	0.369464723864	0.0	0.0483847383225	0.0257665722689	0.0	0.0	0.0	0.022341429083	0.0	0.713878508675	0.0	0.0	0.0	0.0215745358049	0.040257448806	0.0	0.0	0.0	0.0777820471294	0.0	0.0614063929423	0.0	0.0	0.0288196978221	0.0194455117823	0.0	0.0	0.040257448806	0.0	0.0288196978221	0.0	0.0777820471294	0.0	0.0	0.0	0.0407675586726	0.0	0.563588296322
3	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\components\BaseActivity.txt.token	0	0	0	1	0	5	0	0	19	0	0	1	0	0	0	2	2	50	0	0	0	1	3	0	0	0	6	2	0	0	0	0	1	0	1	3	0	0	0	6	1	1	0	0	1	42	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0.0	0.0	0.0	0.0171114495155	0.0	0.0826204041991	0.0	0.0	0.282975495733	0.0	0.0	0.0197347895216	0.0	0.0	0.0	0.0342228990309	0.0425015458678	0.719426723941	0.0	0.0	0.0	0.0165240808398	0.0462501727377	0.0	0.0	0.0	0.089360682863	0.0425015458678	0.0	0.0	0.0	0.0	0.0148934471438	0.0	0.0283367878197	0.0462501727377	0.0	0.0	0.0	0.089360682863	0.0348401913566	0.0348401913566	0.0	0.0	0.029708161628	0.604318448111
4	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\components\BaseFragment.txt.token	0	0	0	1	0	1	0	0	8	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0648942344648	0.0	0.0626666709541	0.0	0.0	0.451860656255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.763948197913	0.0	0.0	0.0	0.0626666709541	0.0	0.0	0.0	0.0	0.0564825820318	0.0	0.0	0.0	0.0	0.0	0.0564825820318	0.0	0.0	0.0	0.0	0.0	0.0	0.0564825820318	0.0	0.0	0.0	0.0	0.0	0.436541827379
5	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\components\RetailApplication.txt.token	0	0	0	1	0	1	0	0	25	0	0	0	0	0	0	1	0	41	0	0	0	1	2	0	0	0	6	0	0	0	0	0	1	0	0	2	0	0	0	6	1	2	0	0	0	24	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0.0	0.0	0.0	0.0215379735786	0.0	0.0207986597639	0.0	0.0	0.468655023627	0.0	0.0	0.0	0.0	0.0	0.0	0.0215379735786	0.0	0.742537613869	0.0	0.0	0.0	0.0207986597639	0.0388096869499	0.0	0.0	0.0	0.112477205671	0.0	0.0	0.0	0.0	0.0	0.0187462009451	0.0	0.0	0.0388096869499	0.0	0.0	0.0	0.112477205671	0.0438529255067	0.0877058510134	0.0	0.0	0.0	0.434656164216
6	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\livedata\SingleLiveEvent.txt.token	1	3	1	1	2	4	0	4	28	0	1	3	0	0	2	3	3	78	2	0	0	2	8	0	0	0	14	3	0	1	1	2	1	0	1	8	0	2	0	14	2	0	2	2	0	84	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0.0243928356784	0.0407316531691	0.030064696445	0.00973128828752	0.0251060741749	0.0375890059327	0.0	0.0521964565811	0.237157464268	0.0	0.0210750098207	0.0336695484427	0.0	0.0	0.0451338086947	0.0291938648626	0.036255969589	0.638255701243	0.0487856713568	0.0	0.0	0.0187945029664	0.0701399787086	0.0	0.0	0.0	0.118578732134	0.036255969589	0.0	0.0210750098207	0.0198136309713	0.0251060741749	0.00846990943816	0.0	0.0161151427392	0.0701399787086	0.0	0.0251060741749	0.0	0.118578732134	0.0396272619426	0.0	0.0534937411745	0.0355143679258	0.0	0.687352293646
7	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\dao\RetailTransactionDao.txt.token	0	5	0	0	2	5	0	0	32	0	0	2	0	0	0	4	4	73	0	0	1	1	1	0	0	0	8	4	0	0	0	2	1	0	0	1	0	2	0	8	0	0	0	0	0	42	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0.0	0.0896125983788	0.0	0.0	0.0331411131176	0.0620239094787	0.0	0.0	0.357780798167	0.0	0.0	0.0296301818113	0.0	0.0	0.0	0.0513829001969	0.0638126152773	0.788517331946	0.0	0.0	0.0321996071885	0.0124047818957	0.011573478953	0.0	0.0	0.0	0.0894451995417	0.0638126152773	0.0	0.0	0.0	0.0331411131176	0.0111806499427	0.0	0.0	0.011573478953	0.0	0.0331411131176	0.0	0.0894451995417	0.0	0.0	0.0	0.0	0.0	0.453667506051
8	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\LocalStore.txt.token	0	0	0	1	9	24	1	2	49	0	8	1	0	0	0	13	18	170	0	0	0	1	16	0	0	0	37	18	0	0	1	9	1	0	0	16	0	9	4	37	0	0	0	0	1	176	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.00451054184845	0.052366035916	0.104537105032	0.00867734448808	0.012096769451	0.192368174941	0.0	0.0781476909893	0.00520204871757	0.0	0.0	0.0	0.0586370440298	0.100829857212	0.644773826075	0.0	0.0	0.0	0.00435571270965	0.0650210537119	0.0	0.0	0.0	0.145257601486	0.100829857212	0.0	0.0	0.00918380064646	0.052366035916	0.00392588112125	0.0	0.0	0.0650210537119	0.0	0.052366035916	0.0390738454946	0.145257601486	0.0	0.0	0.0	0.0	0.00783100848017	0.667530549348
9	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\RoomDatabase.txt.token	0	2	0	3	0	2	2	1	34	0	0	2	0	0	0	1	0	59	0	1	0	1	1	1	0	0	5	0	0	0	0	0	1	0	0	1	1	0	0	5	0	0	0	0	0	32	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0.0	0.0432268855258	0.0	0.0464734336671	0.0	0.0299187891369	0.0596034810632	0.0207727597391	0.458427700271	0.0	0.0	0.0357321543075	0.0	0.0	0.0	0.0154911445557	0.0	0.768537883008	0.0	0.0388307213242	0.0	0.0149593945684	0.0139568949815	0.0425780869333	0.0	0.0	0.0674158382752	0.0	0.0	0.0	0.0	0.0	0.013483167655	0.0	0.0	0.0139568949815	0.0425780869333	0.0	0.0	0.0674158382752	0.0	0.0	0.0	0.0	0.0	0.416834106038
10	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\util\DateTypeConverter.txt.token	0	2	0	1	0	4	0	0	15	0	0	2	0	0	0	2	0	35	0	0	0	1	1	0	0	0	4	0	0	0	0	0	1	0	2	1	0	0	0	4	0	0	0	0	0	25	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0.0	0.0708751860336	0.0	0.0253994184152	0.0	0.0981102256237	0.0	0.0	0.331606824404	0.0	0.0	0.0585867580585	0.0	0.0	0.0	0.0507988368305	0.0	0.747517868359	0.0	0.0	0.0	0.0245275564059	0.0228838491654	0.0	0.0	0.0	0.0884284865077	0.0	0.0	0.0	0.0	0.0	0.0221071216269	0.0	0.0841235489403	0.0228838491654	0.0	0.0	0.0	0.0884284865077	0.0	0.0	0.0	0.0	0.0	0.533941334542
11	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\db\util\LocalDateTimeConverter.txt.token	0	0	0	1	0	9	0	6	39	0	0	1	0	2	0	2	2	91	0	0	0	1	4	0	0	0	5	2	0	0	1	0	1	0	8	4	0	0	2	5	0	0	0	1	0	63	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0.0	0.0	0.0	0.0098637337781	0.0	0.0857263557748	0.0	0.07936029691	0.33482230151	0.0	0.0	0.0113759333967	0.0	0.0609477703447	0.0	0.0197274675562	0.0244996154895	0.754766291537	0.0	0.0	0.0	0.00952515064164	0.0355473014848	0.0	0.0	0.0	0.042925936091	0.0244996154895	0.0	0.0	0.0200832998986	0.0	0.00858518721819	0.0	0.130675793855	0.0355473014848	0.0	0.0	0.0427236929171	0.042925936091	0.0	0.0	0.0	0.017998864085	0.0	0.522530509525
12	D:/Project/CodePerformanceProblemDetection/5_1_FeaturesTokenExtractor/data\sources_2\sources\app\src\main\java\com\ground0\transaction\core\repository\network\ApiStore.txt.token	0	4	0	0	4	4	0	0	17	0	0	0	0	0	0	3	7	50	0	0	1	1	1	0	0	0	7	7	0	0	0	4	1	0	0	1	0	4	0	7	0	0	0	0	0	32	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0.0	0.100550859734	0.0	0.0	0.0929659299246	0.0695946500263	0.0	0.0	0.266589292909	0.0	0.0	0.0	0.0	0.0	0.0	0.0540513577736	0.156628692939	0.757504328949	0.0	0.0	0.0451624303454	0.0173986625066	0.0162326960702	0.0	0.0	0.0	0.109772061786	0.156628692939	0.0	0.0	0.0	0.0929659299246	0.0156817231123	0.0	0.0	0.0162326960702	0.0	0.0929659299246	0.0	0.109772061786	0.0	0.0	0.0	0.0	0.0	0.484802770527
